,nombre,precio,tipo,enlace,modelo,an,brand,prices.amountMax,prices.amountMin,prices.isSale
0,Nike Air Force 1 '07,90,Calzado para mujer,https://www.nike.com/us/es/t/calzado-air-force-1-07-GCkPzr/DD8959-100,others,2021,nike,90.0,90.0,False
1,Nike Blazer Mid '77,100,Calzado para mujer,https://www.nike.com/us/es/t/calzado-blazer-mid-77-25h71W/DQ4692-100,others,2021,nike,100.0,100.0,False
2,Nike Air Zoom Pegasus 38,120,Calzado de running en carretera para mujer,https://www.nike.com/us/es/t/calzado-de-running-en-carretera-air-zoom-pegasus-38-gg8GBK/CW7358-004,pegasus,2021,nike,120.0,120.0,False
3,Nike ZoomX Invincible Run Flyknit,180,Calzado de running en carretera para mujer,https://www.nike.com/us/es/t/calzado-de-running-para-carretera-zoomx-invincible-run-flyknit-kVqSJ8/CT2229-004,others,2021,nike,180.0,180.0,False
4,Nike Blazer Mid '77,110,Calzado para la cancha para mujer,https://www.nike.com/us/es/t/calzado-para-la-cancha-blazer-mid-77-fMzhfm/DO2331-101,others,2021,nike,110.0,110.0,False
5,Nike Air Force 1 Pixel,110,Calzado para mujer,https://www.nike.com/us/es/t/calzado-air-force-1-pixel-VnWf3q/DO2330-511,others,2021,nike,110.0,110.0,False
6,Nike Air Force 1 Fontanka,110,Calzado para mujer,https://www.nike.com/us/es/t/calzado-air-force-1-fontanka-L41zBh/DO2332-111,others,2021,nike,110.0,110.0,False
7,Nike Air Max 270,150,Calzado para mujer,https://www.nike.com/us/es/t/calzado-air-max-270-Pgb94t/DQ0814-100,air max,2021,nike,150.0,150.0,False
8,Nike Dunk High Up,120,Calzado para mujer,https://www.nike.com/us/es/t/calzado-dunk-high-up-L951kh/DH3718-100,others,2021,nike,120.0,120.0,False
9,Nike Air Vapormax 2021 FK,200,Calzado para mujer,https://www.nike.com/us/es/t/calzado-air-vapormax-2021-fk-1WB8SL/DC9454-100,others,2021,nike,200.0,200.0,False
10,Nike Air Zoom Pegasus 38 Shield,130,Calzado de running en carretera para mujer acondicionado para el clima,https://www.nike.com/us/es/t/calzado-de-running-para-carretera-acondicionado-para-el-clima-air-zoom-pegasus-38-shield-Fpm6ML/DC4074-001,pegasus,2021,nike,130.0,130.0,False
11,Nike React Miler 2 Shield,140,Calzado de running para carretera para mujer acondicionado para el clima,https://www.nike.com/us/es/t/calzado-de-running-para-carretera-acondicionado-para-el-clima-react-miler-2-shield-vSxHRL/DC4066-001,others,2021,nike,140.0,140.0,False
12,Nike Blazer Mid '77 Next Nature,100,Calzado para mujer,https://www.nike.com/us/es/t/calzado-blazer-mid-77-next-nature-sx9BtX/DO1344-101,others,2021,nike,100.0,100.0,False
