,an,brand,modelo,prices.amountMax,prices.amountMin,prices.isSale
5728,2018,nike,basketball,70.0,70.0,False
5729,2018,nike,basketball,70.0,70.0,False
7922,2018,nike,others,55.0,49.99,False
7923,2018,nike,others,55.0,41.25,False
7924,2018,nike,others,55.0,55.0,False
7925,2018,nike,others,55.0,55.0,False
7926,2018,nike,others,55.0,55.0,False
7927,2018,nike,others,55.0,49.99,False
7928,2018,nike,others,55.0,49.99,False
7929,2018,nike,others,55.0,49.99,False
7930,2018,nike,others,55.0,49.99,False
7931,2018,nike,others,55.0,41.25,False
7958,2018,nike,court tennis,65.0,45.5,False
7959,2018,nike,court tennis,65.0,65.0,False
7960,2018,nike,court tennis,65.0,65.0,False
7961,2018,nike,court tennis,65.0,45.5,False
7962,2018,nike,court tennis,65.0,65.0,False
7963,2018,nike,court tennis,65.0,65.0,False
7964,2018,nike,court tennis,65.0,65.0,False
7965,2018,nike,flex experience,65.0,65.0,False
7966,2018,nike,flex experience,65.0,59.99,False
7967,2018,nike,flex experience,65.0,48.75,False
7968,2018,nike,flex experience,65.0,65.0,False
7969,2018,nike,flex experience,65.0,48.75,False
7970,2018,nike,flex experience,65.0,48.75,False
7971,2018,nike,flex experience,65.0,65.0,False
7972,2018,nike,flex experience,65.0,59.99,False
7973,2018,nike,flex experience,65.0,48.75,False
7974,2018,nike,flex experience,65.0,59.99,False
7975,2018,nike,flex experience,65.0,48.75,False
7976,2018,nike,flex experience,65.0,48.75,False
7977,2018,nike,flex experience,65.0,48.75,False
7978,2018,nike,flex experience,65.0,65.0,False
7979,2018,nike,flex experience,65.0,54.99,False
7980,2018,nike,flex experience,65.0,65.0,False
7981,2018,nike,flex experience,65.0,54.99,False
7982,2018,nike,flex experience,65.0,48.75,False
7983,2018,nike,flex experience,65.0,65.0,False
7984,2018,nike,flex experience,65.0,48.75,False
7985,2018,nike,flex experience,65.0,48.75,False
7986,2018,nike,flex experience,65.0,54.99,False
7987,2018,nike,flex experience,65.0,65.0,False
7988,2018,nike,flex experience,65.0,48.75,False
7989,2018,nike,flex experience,65.0,59.99,False
7990,2018,nike,flex experience,65.0,48.75,False
7991,2018,nike,flex experience,65.0,48.75,False
7992,2018,nike,flex experience,65.0,65.0,False
7993,2018,nike,flex experience,65.0,65.0,False
7994,2018,nike,flex experience,65.0,48.75,False
7995,2018,nike,flex experience,65.0,54.99,False
7996,2018,nike,flex experience,65.0,48.75,False
7997,2018,nike,flex experience,65.0,48.75,False
7998,2018,nike,flex experience,65.0,48.75,False
7999,2018,nike,flex experience,65.0,65.0,False
8000,2018,nike,flex experience,65.0,48.75,False
8001,2018,nike,flex experience,65.0,65.0,False
8002,2018,nike,flex experience,65.0,65.0,False
8003,2018,nike,flex experience,65.0,65.0,False
8004,2018,nike,flex experience,65.0,48.75,False
8005,2018,nike,flex experience,65.0,65.0,False
8006,2018,nike,flex experience,65.0,54.99,False
8007,2018,nike,flex experience,65.0,65.0,False
8008,2018,nike,flex experience,65.0,65.0,False
8009,2018,nike,flex experience,65.0,48.75,False
8010,2018,nike,flex experience,65.0,48.75,False
8011,2018,nike,flex experience,65.0,65.0,False
8012,2018,nike,flex experience,65.0,48.75,False
8013,2018,nike,flex experience,65.0,59.99,False
8014,2018,nike,flex experience,65.0,65.0,False
8015,2018,nike,flex experience,65.0,65.0,False
